tri_id,valid,p0x_m,p0y_m,p1x_m,p1y_m,p2x_m,p2y_m,foot_area_m2,att,Ponplane_W,I_Wm2,status_code,status_label
705,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
706,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
707,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
708,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
709,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
710,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
711,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
712,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
713,1,0.005304314431774945,0.002484740003845206,0.005490345477790941,0.003302384589669166,0.00499817971254837,0.002893117797168187,1.63140171884963e-07,0.5377611974917329,0.0008383904329534586,5139.080235520673,0,ok
714,1,0.004989020328070028,0.00290409144503489,0.005480381063475933,0.003314322725266529,0.005078451898558775,0.003737166239700801,1.863263080502201e-07,0.5310969719255075,0.0009463669357142094,5079.083816007009,0,ok
715,1,0.004989020328070027,0.00290409144503489,0.005078451898558775,0.0037371662397008,0.004637332308767514,0.003274079520164877,1.630355195439427e-07,0.5418872901507694,0.0008448950214690567,5182.275763174009,0,ok
716,1,0.004627092822745587,0.003283796058542542,0.005067319628182191,0.003747729966445773,0.004618816835800005,0.004120960625092371,1.861908968611854e-07,0.5357229691461335,0.0009547018505886201,5127.543111306875,0,ok
717,1,0.004627092822745588,0.003283796058542543,0.004618816835800006,0.004120960625092372,0.004234652879411175,0.003610372884858316,1.629170347535372e-07,0.5465696842162173,0.0008522776307313903,5231.359826924951,0,ok
718,1,0.004223515411133104,0.003618718484235133,0.00460671724051403,0.004130027171668059,0.004117757291702273,0.004448589059989976,1.860414840051056e-07,0.5408885911638531,0.0009640095496425104,5181.691356622669,0,ok
719,1,0.004223515411133103,0.003618718484235132,0.004117757291702272,0.004448589059989976,0.003795675455922815,0.00389746013651681,1.627862985044676e-07,0.5517577589212941,0.0008604586743119244,5285.81755477602,0,ok
720,1,0.003783832606505441,0.00390434950382883,0.004104902081054982,0.004456067350467321,0.003582145161477764,0.004715655438895089,1.858800665676682e-07,0.5465374399215978,0.0009741886643818634,5240.952848632735,0,ok
721,1,0.003783832606505442,0.003904349503828831,0.003582145161477764,0.00471565543889509,0.003326420301875376,0.004131489081203128,1.626450582467099e-07,0.557393641164696,0.0008693471137799639,5345.057041089348,0,ok
722,1,0.003314070295013456,0.004136865974611075,0.003568751778340264,0.004721486593023771,0.003019309144374684,0.004918603867275106,1.857088061234627e-07,0.5526056850348242,0.0009851244103225626,5304.672572541515,0,ok
