tri_id,status_code,status_label,has_meniscus_geom,has_bottom_geom,Pin_W,Ponplane_W,att
135,0,ok,1,1,0.000223299,0.000150492,0.673947
136,0,ok,1,1,0.000446587,0.000299578,0.670816
137,0,ok,1,1,0.000223293,0.000150173,0.672538
138,0,ok,1,1,0.000446575,0.000298796,0.669082
139,0,ok,1,1,0.000223288,0.000149861,0.671155
140,0,ok,1,1,0.000446564,0.000298036,0.667397
141,0,ok,1,1,0.000223282,0.000149558,0.669818
142,0,ok,1,1,0.000446554,0.000297308,0.665784
143,0,ok,1,1,0.000223277,0.00014927,0.668543
144,0,ok,1,1,0.000446544,0.000296622,0.664263
145,0,ok,1,1,0.000223272,0.000149,0.667348
146,0,ok,1,1,0.000446534,0.000295987,0.662854
147,0,ok,1,1,0.000223267,0.000148752,0.666249
148,0,ok,1,1,0.000446526,0.000295411,0.661577
149,0,ok,1,1,0.000223263,0.000148528,0.665259
150,0,ok,1,1,0.000446519,0.000294902,0.660447
151,0,ok,1,1,0.000223259,0.000148332,0.664393
152,0,ok,1,1,0.000446512,0.000294465,0.659478
153,0,ok,1,1,0.000223256,0.000148166,0.66366
154,0,ok,1,1,0.000446507,0.000294107,0.658684
155,0,ok,1,1,0.000223254,0.000148033,0.66307
156,0,ok,1,1,0.000446503,0.000293832,0.658075
157,0,ok,1,1,0.000223252,0.000147934,0.662632
158,0,ok,1,1,0.0004465,0.000293644,0.657657
159,0,ok,1,1,0.00022325,0.00014787,0.66235
160,0,ok,1,1,0.000446499,0.000293545,0.657437
161,0,ok,1,1,0.00022325,0.000147842,0.662229
162,0,ok,1,1,0.000669566,0.000428964,0.64066
163,0,ok,1,1,0.000446377,0.000288638,0.646624
164,0,ok,1,1,0.000669569,0.000429149,0.640934
165,0,ok,1,1,0.000446379,0.000288789,0.646959
166,0,ok,1,1,0.000669576,0.000429544,0.641517
167,0,ok,1,1,0.000446384,0.000289063,0.647566
168,0,ok,1,1,0.000669586,0.000430144,0.642402
169,0,ok,1,1,0.000446391,0.000289456,0.648437
170,0,ok,1,1,0.000669599,0.00043094,0.64358
171,0,ok,1,1,0.000446399,0.000289963,0.649561
172,0,ok,1,1,0.000669615,0.000431924,0.645034
173,0,ok,1,1,0.00044641,0.000290579,0.650924
174,0,ok,1,1,0.000669633,0.000433084,0.646748
175,0,ok,1,1,0.000446422,0.000291295,0.65251
176,0,ok,1,1,0.000669654,0.000434405,0.6487
177,0,ok,1,1,0.000446436,0.000292103,0.654299
178,0,ok,1,1,0.000669678,0.00043587,0.650865
179,0,ok,1,1,0.000446452,0.000292992,0.656267
