tri_id,v0x_m,v0y_m,v0z_m,v1x_m,v1y_m,v1z_m,v2x_m,v2y_m,v2z_m,area_face_m2,Sdotn_Wm2,Pin_W,R,T,A
33,0.0015,0,0.001962659759514668,0.001019945482312107,-0.0004028135687368979,0.001936268919455395,0.001069955240268927,-0.0004558208153857771,0.001940048946511844,2.284358511280866e-08,9776.269933948312,0.0002233250543219405,0.02029336283973607,0.9797066371602638,1.110223024625157e-16
34,0.0015,0,0.001962659759514668,0.001069955240268927,-0.0004558208153857771,0.001940048946511844,0.001125780615866254,-0.0005026638674598274,0.001944268551621241,2.284588518447496e-08,9775.224463699395,0.0002233236557501472,0.02029949824658802,0.9797005017534121,-1.110223024625157e-16
35,0.0015,0,0.001962659759514668,0.001125780615866254,-0.0005026638674598274,0.001944268551621241,0.001186666666666666,-0.0005427092530382481,0.001948870671863147,2.284842135770988e-08,9774.071909107815,0.0002233221133598512,0.02030626457208405,0.9796937354279155,4.440892098500626e-16
36,0.0015,0,0.001962659759514668,0.001186666666666666,-0.0005427092530382481,0.001948870671863147,0.001251790013282128,-0.0005754154269783051,0.001953793071456152,2.285115926254774e-08,9772.827952335349,0.0002233204479842934,0.02031357042271726,0.9796864295772829,-2.220446049250313e-16
37,0.0015,0,0.001962659759514668,0.001251790013282128,-0.0005754154269783051,0.001953793071456152,0.001320269974167717,-0.0006003400943843729,0.001958969183390059,2.285406180796994e-08,9771.509502280805,0.0002233186821222911,0.02032131709819475,0.9796786829018055,-2.220446049250313e-16
38,0.0015,0,0.001962659759514668,0.001320269974167717,-0.0006003400943843729,0.001958969183390059,0.001391180475328724,-0.0006171461918876504,0.001964329009630498,2.2857089687034e-08,9770.134461252195,0.000223316839635223,0.02032939992086287,0.979670600079137,1.110223024625157e-16
39,0.0015,0,0.001962659759514668,0.001391180475328724,-0.0006171461918876504,0.001964329009630498,0.001463562573882768,-0.0006256064458499947,0.001969800067722263,2.286020191139005e-08,9768.721478967407,0.0002233149454253277,0.02033770964683685,0.9796622903531633,-2.220446049250313e-16
40,0.0015,0,0.001962659759514668,0.001463562573882768,-0.0006256064458499947,0.001969800067722263,0.001536437426117231,-0.0006256064458499947,0.001975308370990174,2.286335636780946e-08,9767.289697419608,0.0002233130250997384,0.02034613393998892,0.9796538660600111,-1.110223024625157e-16
41,0.0015,0,0.001962659759514668,0.001536437426117231,-0.0006256064458499947,0.001975308370990174,0.001608819524671277,-0.0006171461918876504,0.001980779429081939,2.286651038906901e-08,9765.858490213232,0.0002233111046246387,0.02035455888904209,0.9796454411109576,2.220446049250313e-16
42,0.0015,0,0.001962659759514668,0.001608819524671277,-0.0006171461918876504,0.001980779429081939,0.001679730025832283,-0.000600340094384373,0.001986139255322377,2.286962133140378e-08,9764.447199990227,0.0002233092099742624,0.02036287054735955,0.9796371294526407,-2.220446049250313e-16
